Norte;Este ;Muestra;zona;MgO;Al2O3;SiO2;P2O5;S;Cl;K2O;CaO;TiO2;V;Cr;MnO;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Ba;La;Ce;Hf;Ta;W;Au;Hg;Tl;Pb;Bi;Th;U
6973434;358329;7;1;0.000;0.878;28.602;0.001;0.026;0.314;0.065;0.434;0.021;0.017;0.005;0.248;0.890;0.039;0.141;49.937;0.013;0.000;0.000;0.000;0.004;0.000;0.002;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.056;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.197;0.020
6973434;358329;7;1;2.238;0.617;20.936;0.000;0.007;1.233;0.049;0.566;0.014;0.014;0.002;0.082;1.004;0.000;0.086;32.579;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.005;0.000;0.000;0.000;0.058;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.104;0.018
6973434;358329;7;1;1.547;1.387;8.170;0.041;0.149;0.042;0.040;0.365;0.000;0.255;0.000;0.077;29.247;0.000;0.048;0.087;0.003;0.000;0.000;0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.065;0.043;0.000;0.000
6973434;358329;7;1;4.998;5.453;33.316;0.083;1.275;0.569;0.272;1.546;0.123;0.097;0.000;0.102;39.081;0.334;0.030;0.203;0.006;0.000;0.000;0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.052;0.063;0.018;0.000
6973434;358329;7;1;3.826;2.958;32.955;1.966;0.046;0.092;0.189;2.906;0.000;0.030;0.000;0.114;37.428;0.286;0.017;0.080;0.007;0.000;0.000;0.011;0.000;0.008;0.000;0.001;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.040;0.028;0.000;0.000
6973434;358329;7;1;4.237;2.447;32.934;0.188;0.122;0.037;0.313;6.430;0.192;0.041;0.000;0.051;15.149;0.000;0.009;0.028;0.003;0.000;0.000;0.001;0.000;0.006;0.002;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.007;0.000;0.000;0.000
6970981;357950;8;1;2.137;1.509;5.399;0.034;0.164;0.105;0.087;0.591;0.201;0.136;0.000;0.057;22.469;0.000;0.043;0.048;0.005;0.000;0.000;0.013;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.054;0.035;0.000;0.000
6970981;357950;8;1;4.955;1.443;17.315;0.020;2.006;0.044;0.113;4.355;0.297;0.048;0.000;0.055;12.525;0.000;0.016;0.023;0.003;0.000;0.000;0.002;0.000;0.006;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.008;0.000;0.000;0.000
6970981;357950;8;1;0.000;6.466;35.805;0.039;0.639;0.072;0.123;5.749;0.060;0.022;0.028;0.094;27.030;0.059;0.015;0.308;0.001;0.000;0.000;0.004;0.050;0.000;0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.108;0.000;0.000;0.000;0.000;0.000;0.000;0.018;0.008;0.000;0.000
6970981;357950;8;1;1.350;6.788;47.470;0.104;0.058;0.008;0.124;6.062;0.037;0.016;0.021;0.132;17.413;0.019;0.010;0.156;0.002;0.000;0.000;0.001;0.052;0.000;0.006;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.005;0.000;0.000;0.000
